x,z3,z4,,,,,,,,,
2.0152,22.5091,24.4611,,,,,,,,,
2.0456,22.5069,24.4618,,,,,,,,,
2.5021,22.4781,24.5062,,,,,,,,,
2.5478,22.4764,24.5186,,,,,,,,,
3.0042,22.5069,24.7773,,,,,,,,,
3.4911,22.6914,25.2084,,,,,,,,,
3.5216,22.708,25.239,,,,,,,,,
3.978,23.0242,25.7534,,,,,,,,,
4.0237,23.0599,25.8119,,,,,,,,,
4.4954,23.4688,26.4729,,,,,,,,,
4.5106,23.484,26.4936,,,,,,,,,
5.0127,24.0588,27.1741,,,,,,,,,
5.0431,24.0953,27.2201,,,,,,,,,
5.4996,24.6697,28.0536,,,,,,,,,
5.5148,24.6911,28.0837,,,,,,,,,
6.0017,25.423,29.0307,,,,,,,,,
6.0321,25.467,29.0888,,,,,,,,,
6.5038,26.1121,30.0078,,,,,,,,,
6.5342,26.1568,30.0707,,,,,,,,,
6.9907,26.9321,31.0425,,,,,,,,,
7.0363,27.0189,31.1367,,,,,,,,,
7.4776,27.906,32.0771,,,,,,,,,
7.508,27.9673,32.1454,,,,,,,,,
8.0101,28.9157,33.2929,,4.3772,,,,,,,
8.5123,29.7799,34.4624,,,,,,,,,
8.5427,29.8354,34.5343,,,,,,,,,
9.0144,30.7838,35.6695,,4.8857,,,,,,,
10.0034,32.6806,37.9832,,,,,,,,,
10.0338,32.7386,38.0549,,,,,,,,,
11.0228,34.6349,40.4115,,,,,,,,,
11.9966,36.5029,42.6819,,,,,,,,,
12.0118,36.5317,42.7164,,,,,,,,,
12.803,37.9686,44.4827,,,,,,,,,
13.0161,38.3451,44.9523,,,,,,,,,
13.5334,39.2587,46.1019,,,,,,,,,
14.0051,40.0954,47.1583,,,,,,,,,
14.5072,40.9288,48.2263,,,,,,,,,
14.5224,40.9512,48.2573,,7.3061,7.5041,,,,,,
15.5114,42.4233,50.1254,,7.7021,,0.133260484,,,1lb BMI ~ 0.13326 z score,,
15.8157,42.9693,50.6815,,,,,,,,,
16.0135,43.2567,51.0738,,7.8171,0.127924678,,,,1lb BMI ~ 0.127925 z ,,
16.5004,43.9464,52.0578,,,,,,,,,
16.8199,44.4637,52.698,,,,,,,,,
17.0025,44.6937,53.0568,,8.3631,,,,,,,
17.5046,45.4409,53.9549,,4.0063,,,,,,,
17.5351,45.4856,54.0052,,0.479044852,3.479 z start,,,,,,
17.9915,46.1432,54.8099,,,,,,,,,
18.022,46.1881,54.8663,,3.0063,0.359471966,3.359471966,,,,,
18.5089,46.9402,55.7871,,2.0063,0.23989908,3.23989908,0.119572886,,1 lb BMI ~ 0.119 z score pts,,
18.5241,46.9641,55.8159,,1.0063,0.120326195,3.120326195,0.119572886,,,,
18.9958,47.6826,56.7067,,,9.0241,0.110814375,,,1lb BMI ~ 0.110814 z score pts,,
19.5131,48.4089,57.6839,,,,,,,,,
19.5283,48.4298,57.7118,,,,,,,using age SE -- 0.119 Lower: 0.110814 Upper: 0.13326 ,,
20,49.0702,58.546,,,,,,,0.013687599,0.027375197,
20.0152,49.0908,58.5725,,,,,,,0.008758511,0.017517022,0.022446109
